Pager usage is off.
Timing is on.
 l_orderkey |   revenue   | o_orderdate | o_shippriority 
------------+-------------+-------------+----------------
    2456423 | 406181.0111 | 1995-03-05  |              0
    3459808 | 405838.6989 | 1995-03-04  |              0
     492164 | 390324.0610 | 1995-02-19  |              0
    1188320 | 384537.9359 | 1995-03-09  |              0
    2435712 | 378673.0558 | 1995-02-26  |              0
    4878020 | 378376.7952 | 1995-03-12  |              0
    5521732 | 375153.9215 | 1995-03-13  |              0
    2628192 | 373133.3094 | 1995-02-22  |              0
     993600 | 371407.4595 | 1995-03-05  |              0
    2300070 | 367371.1452 | 1995-03-13  |              0
    1166660 | 365967.4424 | 1995-02-27  |              0
    1083941 | 365184.4922 | 1995-02-21  |              0
     405063 | 359706.5697 | 1995-03-03  |              0
    4212103 | 356025.2163 | 1995-02-14  |              0
    4232067 | 355384.5423 | 1995-02-21  |              0
     817603 | 354799.8886 | 1995-03-11  |              0
     408035 | 351700.1771 | 1995-03-08  |              0
    4463334 | 350549.0789 | 1995-03-14  |              0
    1546404 | 350411.0898 | 1995-03-11  |              0
     345664 | 347632.9283 | 1995-03-08  |              0
    2864672 | 345570.4476 | 1995-03-13  |              0
    5680037 | 345361.2910 | 1995-03-14  |              0
     775873 | 345317.9001 | 1995-03-13  |              0
    4451046 | 345194.6947 | 1995-02-20  |              0
    5455494 | 343607.2204 | 1995-02-21  |              0
    4391237 | 343202.3804 | 1995-03-05  |              0
    1660512 | 342900.9212 | 1995-01-16  |              0
     369862 | 341547.7824 | 1995-03-14  |              0
    2060449 | 340743.1088 | 1995-03-08  |              0
    5160228 | 338557.5035 | 1995-03-13  |              0
    1549319 | 337587.1629 | 1995-03-07  |              0
    1124067 | 337439.2056 | 1995-03-12  |              0
     754912 | 337349.8889 | 1995-02-14  |              0
    4289698 | 336980.4310 | 1995-01-23  |              0
    3328709 | 336896.6323 | 1995-03-09  |              0
    2517952 | 336320.9057 | 1995-02-20  |              0
    4129095 | 335723.1209 | 1995-02-17  |              0
    5844161 | 334427.7461 | 1995-03-05  |              0
    4487361 | 332789.1270 | 1995-02-22  |              0
    1815554 | 332654.9231 | 1995-03-12  |              0
    3681568 | 332599.8601 | 1995-02-27  |              0
     217572 | 332211.6141 | 1995-03-05  |              0
    1827495 | 331854.9272 | 1995-03-04  |              0
    1175943 | 331847.7263 | 1995-03-13  |              0
    2020610 | 330992.1707 | 1995-02-05  |              0
    2994211 | 330726.8306 | 1995-03-05  |              0
    2948355 | 329877.7886 | 1995-01-21  |              0
     181793 | 329629.9252 | 1995-02-14  |              0
    1586850 | 329213.9977 | 1995-03-10  |              0
    4346215 | 329005.1182 | 1995-02-21  |              0
    4641217 | 329001.1749 | 1995-02-15  |              0
     821158 | 328507.3101 | 1995-01-09  |              0
     303360 | 328213.1622 | 1995-03-14  |              0
    4065637 | 326715.9806 | 1995-01-19  |              0
    4393826 | 326524.7550 | 1995-03-06  |              0
    1969217 | 326459.3566 | 1995-03-13  |              0
    3154627 | 325810.2556 | 1995-01-24  |              0
    4225253 | 325488.0979 | 1995-02-28  |              0
     891490 | 324468.6198 | 1995-03-08  |              0
    1635941 | 323680.8228 | 1995-02-22  |              0
    5363396 | 323373.4790 | 1995-03-12  |              0
    2880898 | 322087.1541 | 1995-02-23  |              0
     462502 | 321750.2871 | 1995-03-08  |              0
    1232902 | 321384.6178 | 1995-03-01  |              0
    2192676 | 320963.5680 | 1995-03-07  |              0
    4878882 | 320894.2490 | 1995-03-01  |              0
    4617957 | 320542.0460 | 1995-01-28  |              0
    3841217 | 320473.4349 | 1995-03-05  |              0
    2955847 | 319815.2854 | 1995-02-07  |              0
    1220678 | 319670.3784 | 1995-02-09  |              0
    5949254 | 317913.4639 | 1995-03-11  |              0
    1881824 | 317585.0749 | 1995-01-27  |              0
    5901729 | 317343.4301 | 1995-03-03  |              0
    1708417 | 317181.9932 | 1995-03-05  |              0
    3923874 | 317133.3053 | 1995-03-10  |              0
    1274374 | 316332.9715 | 1995-02-24  |              0
    4456832 | 316170.0391 | 1995-02-23  |              0
     632292 | 315180.1775 | 1995-02-26  |              0
    3946406 | 314724.4173 | 1995-02-06  |              0
     964002 | 314131.9359 | 1995-02-27  |              0
    5089889 | 313272.9441 | 1995-02-14  |              0
    1092293 | 313210.6723 | 1995-03-05  |              0
    2818756 | 312939.3886 | 1995-03-06  |              0
    4115877 | 312893.4749 | 1995-02-13  |              0
     311266 | 312371.6538 | 1995-02-17  |              0
    2288865 | 311949.4075 | 1995-02-18  |              0
    2988803 | 311847.9421 | 1995-03-11  |              0
    4090502 | 311808.0815 | 1995-02-02  |              0
    3287808 | 310998.2967 | 1995-02-17  |              0
    5188579 | 310709.6849 | 1995-02-06  |              0
    1260007 | 310574.4540 | 1995-03-12  |              0
    2979175 | 309437.9609 | 1995-02-27  |              0
     804932 | 309359.6554 | 1995-03-05  |              0
    4175075 | 309272.5109 | 1995-02-09  |              0
     580033 | 308706.3199 | 1995-03-02  |              0
    1834755 | 308449.5762 | 1995-03-09  |              0
    5346629 | 308421.5634 | 1995-02-19  |              0
    4373991 | 308007.3505 | 1995-03-01  |              0
    1288001 | 307823.9514 | 1995-02-27  |              0
    3393030 | 307407.9861 | 1995-02-18  |              0
    2509287 | 306927.0793 | 1995-03-07  |              0
     169668 | 305965.7827 | 1995-01-12  |              0
     130787 | 305761.8014 | 1995-02-03  |              0
    1160455 | 304779.5275 | 1995-03-04  |              0
    2175907 | 304254.9650 | 1995-03-14  |              0
    3194598 | 304232.9069 | 1995-03-05  |              0
    1616518 | 303848.6412 | 1995-02-25  |              0
     360804 | 303816.9441 | 1995-02-23  |              0
    1384993 | 303763.0696 | 1995-02-14  |              0
    2419904 | 303741.7828 | 1995-03-01  |              0
    3721319 | 303709.6736 | 1995-02-10  |              0
    5353574 | 303479.9833 | 1995-03-14  |              0
     167618 | 302207.9222 | 1995-03-13  |              0
    5620545 | 301917.7108 | 1995-03-07  |              0
    4961984 | 301849.8359 | 1995-03-08  |              0
    5664482 | 301842.0110 | 1995-03-14  |              0
    1357093 | 301354.7926 | 1995-03-08  |              0
    3079552 | 301324.3206 | 1995-02-13  |              0
     159809 | 301135.4984 | 1995-02-08  |              0
    2889126 | 299665.2230 | 1995-03-06  |              0
    3461635 | 299432.7528 | 1995-02-18  |              0
    1908865 | 298970.5358 | 1995-03-06  |              0
    1565188 | 298505.8024 | 1995-03-09  |              0
    4955012 | 298189.5699 | 1995-03-04  |              0
    2142407 | 298121.4031 | 1995-02-03  |              0
    1730400 | 297692.7001 | 1995-02-13  |              0
    1998626 | 297557.5944 | 1995-03-08  |              0
    3761543 | 297282.4145 | 1995-03-12  |              0
    1190215 | 296768.8097 | 1995-02-26  |              0
    5173316 | 296349.7907 | 1995-03-02  |              0
    4163941 | 295975.1248 | 1995-01-14  |              0
     255361 | 295962.0039 | 1995-02-22  |              0
     669248 | 295813.2297 | 1995-03-11  |              0
    5151010 | 295559.4790 | 1995-01-22  |              0
     762690 | 295530.7388 | 1995-02-13  |              0
    3052608 | 295329.3475 | 1995-03-13  |              0
    4280001 | 295193.2760 | 1995-03-06  |              0
    5144481 | 295185.1206 | 1995-03-03  |              0
     749472 | 295047.7320 | 1995-02-21  |              0
    4003234 | 294800.4494 | 1995-03-03  |              0
     738822 | 294539.3798 | 1995-02-04  |              0
     353922 | 294533.8315 | 1995-03-02  |              0
